City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,padilla,3.2204,-76.3139,71.17,95,100,1.74,CO,1674009178
350,barentu,15.1139,37.5928,62.78,80,5,5.23,ER,1674009178
351,luanda,-8.8368,13.2343,76.93,86,100,6.96,AO,1674009178
352,kautokeino,69.0125,23.0412,8.71,98,100,6.2,NO,1674009179
353,nyurba,63.2842,118.3319,-58.81,99,100,1.12,RU,1674009180
354,kjollefjord,70.9457,27.3465,32.05,74,20,16.11,NO,1674009180
355,butajira,8.1167,38.3667,52.59,29,28,5.55,ET,1674009180
356,bulancak,40.9372,38.2291,62.42,34,0,10.36,TR,1674009181
357,abalak,58.1286,68.5944,7.43,86,81,7.29,RU,1674009181
358,verkhnevilyuysk,63.4453,120.3167,-59.03,99,93,1.45,RU,1674009182
359,tiarei,-17.5333,-149.3333,84.22,78,7,10.63,PF,1674009182
360,ilkal,15.9667,76.1333,67.98,57,1,10.33,IN,1674009183
361,presidente olegario,-18.4178,-46.4181,63.79,86,12,1.83,BR,1674009183
362,tuensang,26.2833,94.8333,59.2,58,0,1.7,IN,1674009184
